ZIP,Unemployment Rate,,,,,
06241,1.6,,,,,
06042,6.7,,,,,
06901,3.7,,,,,
04952,3.3,,,,,
04086,3.4,,,,,
04401,2.5,,,,,
01040,3.9,,,,,
02122,3.4,,,,,
02114,3,,,,,
03840,3,,,,,
03110,3.8,,,,,
03063,2.5,,,,,
02917,6.2,,,,,
02886,2.8,,,,,
02865,3.7,,,,,
05403,3.6,,,,,
08865,3.9,,,,,
07047,3.2,,,,,
07310,4.4,,,,,
14020,2.1,,,,,
14850,3.8,,,,,
11217,3.8,,,,,
16601,4,,,,,
17013,4.1,,,,,
19103,6.2,,,,,
61401,0,,,,,
60014,2.9,,,,,
60610,6.4,,,,,
47401,6.4,,,,,
46383,3.8,,,,,
46237,4.3,,,,,
49855,4.7,,,,,
48374,2.4,,,,,
48507,13.3,,,,,
44870,9.8,,,,,
45236,6.3,,,,,
45249,6.3,,,,,
54235,4.6,,,,,
53085,1.4,,,,,
53207,5.1,,,,,
50702,6.4,,,,,
50009,3.3,,,,,
52404,3.9,,,,,
67401,2.7,,,,,
66062,1.3,,,,,
66111,4.7,,,,,
56601,5.2,,,,,
55066,3.6,,,,,
55403,3.9,,,,,
63010,4.5,,,,,
63033,4.1,,,,,
64114,3.4,,,,,
68073,2.1,,,,,
68123,2,,,,,
68116,3.3,,,,,
58563,1.6,,,,,
58701,1.6,,,,,
58103,4.5,,,,,
57701,2.4,,,,,
57401,4.2,,,,,
57110,2.4,,,,,
19931,4.4,,,,,
19901,6.8,,,,,
19808,7.6,,,,,
33403,4,,,,,
33463,4.3,,,,,
33428,4.3,,,,,
31525,6.6,,,,,
30189,3,,,,,
30324,5.5,,,,,
21030,3.9,,,,,
21009,4.5,,,,,
21704,1.9,,,,,
28704,3.1,,,,,
28104,3.2,,,,,
27609,5.3,,,,,
29621,5.8,,,,,
29680,3.8,,,,,
29607,4.7,,,,,
24487,2.5,,,,,
24151,3.2,,,,,
22305,3.4,,,,,
25526,3.2,,,,,
26059,5.8,,,,,
25309,2.9,,,,,
36526,2,,,,,
35601,3.4,,,,,
35226,2.7,,,,,
42104,5.9,,,,,
42301,4.7,,,,,
40241,3.8,,,,,
39159,6.1,,,,,
39402,4.4,,,,,
39213,10.3,,,,,
37801,3.6,,,,,
38017,3.1,,,,,
38133,5.8,,,,,
72903,4.3,,,,,
72032,3.7,,,,,
72703,4.3,,,,,
71301,9.5,,,,,
71111,6.1,,,,,
70816,7.5,,,,,
74055,4.3,,,,,
73034,3.5,,,,,
74133,4.6,,,,,
77840,6.2,,,,,
79707,3.1,,,,,
78717,3.7,,,,,
85748,4.2,,,,,
79707,3.1,,,,,
85207,3.9,,,,,
81401,4.1,,,,,
80108,2.7,,,,,
80202,2.7,,,,,
83704,3.4,,,,,
83815,1.7,,,,,
83713,2.7,,,,,
59718,1.7,,,,,
59901,3.5,,,,,
59718,1.7,,,,,
89705,3,,,,,
89434,5.1,,,,,
89183,7.4,,,,,
87402,3.3,,,,,
87124,4.6,,,,,
87114,4.4,,,,,
84660,2.2,,,,,
84095,3,,,,,
84121,2.6,,,,,
82609,4.3,,,,,
83001,1.9,,,,,
82009,3.1,,,,,
99654,6.2,,,,,
99515,2.8,,,,,
95330,9,,,,,
91730,5.7,,,,,
90065,7.8,,,,,
96740,3.8,,,,,
96734,3.6,,,,,
96818,5.4,,,,,
98626,7.1,,,,,
97303,4.7,,,,,
97217,5.5,,,,,
98233,5.8,,,,,
98901,6.7,,,,,
98101,3.2,,,,,