Product,Zip Code,Price,Location,Classification,
Bananas,06241,$1.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Bananas,06042,1.99,"125 Buckland Hills Dr, Manchester, CT 06042-8701",suburban ,
Bananas,06901,$1.99 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Bananas,04952,$1.99 ,"60 Longview Dr,, Bangor, Maine 04401-3629",rural,
Bananas,04086,$1.99 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Bananas,04401,$1.99 ,60 Longview Dr,urban,
Bananas,01040,$1.99 ,"Bangor, ME 04401-3629",rural,
Bananas,02122,$1.99 ,"500 Geneva Ave,, Dorchester, Massachusetts 02122-1321",suburban,
Bananas,02114,$1.99 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Bananas,03840,$1.99 ,"1450 Greenland Rd,
Greenland, New Hampshire 03840-2438",rural,
Bananas,03110,$1.99 ,"Bedford, New Hampshire 03110-6819",suburban,
Bananas,03063,$1.99 ,"600 Amherst St, Nashua, New Hampshire 03063-1002",urban,
Bananas,02917,$1.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Bananas,02886,$1.99 ,"400 Bald Hill Rd, Warwick, RI 02886-6101",suburban,
Bananas,02865,$1.99 ,"371 Putnam Pike Ste A-250,
Smithfield, Rhode Island 02917-2440",urban,
Bananas,05403,$1.99 ,"155 Dorset St,
South Burlington, Vermont 05403-6346",suburban,
Vegetable Oil,06241,$9.39 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Vegetable Oil,06042,$9.39 ,"125 Buckland Hills Dr, Manchester, CT 06042-8701",suburban,
Vegetable Oil,06901,$9.39 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Vegetable Oil,04952,$9.39 ,"60 Longview Dr,",rural ,
Vegetable Oil,04086,$9.39 ,"Bangor, Maine 04401-3629",suburban,
Vegetable Oil,04401,$9.39 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Vegetable Oil,01040,$9.39 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
Vegetable Oil,02122,$9.39 ,"7 Allstate Rd,, Dorchester, Massachusetts 02125-1663",suburban,
Vegetable Oil,02114,$9.39 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Vegetable Oil,03840,$9.39 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Vegetable Oil,03110,$9.39 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Vegetable Oil,03063,$9.39 ,"600 Amherst St, Nashua, New Hampshire 03063-1002",urban,
Vegetable Oil,2917,$9.39 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Vegetable Oil,2886,$9.39 ,"400 Bald Hill Rd, Warwick, RI 02886-6101",suburban,
Vegetable Oil,02865,$9.39 ,"620 George Washington Hwy,",urban,
Vegetable Oil,05403,$9.39 ,"155 Dorset St, South Burlington, Vermont 05403-6346",,
Gum,06241,$1.69 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Gum,06042,$1.79 ,"125 Buckland Hills Dr, Manchester, CT 06042-8701",suburban,
Gum,06901,$1.79 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Gum,04952,$1.79 ,"119 Crossing Way,",rural,
Gum,04086,$1.69 ,"Augusta, Maine 04330-6184",suburban,
Gum,04401,$1.69 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Gum,01040,$1.79 ,"125 Buckland Hills Dr,
Manchester, Connecticut 06042-8701",rural,
Gum,02122,$1.79 ,"500 Geneva Ave,, Dorchester, Massachusetts 02122-1321",suburban,
Gum,02114,$1.69 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Gum,03840,$1.69 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Gum,03110,$1.69 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Gum,03063,$1.69 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
Gum,02917,$1.69 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Gum,02886,$1.79 ,"400 Bald Hill Rd, Warwick, RI 02886-6101",suburban,
Gum,02865,$1.69 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Gum,05403,$1.69 ,"155 Dorset St,, South Burlington, Vermont 05403-6346",suburban,
Toilet Paper,06241,$12.99 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Toilet Paper,06042,$12.99 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,
Toilet Paper,06901,$12.99 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Toilet Paper,04952,$12.99 ,"119 Crossing Way,, Augusta, Maine 04330-6184",rural,
Toilet Paper,04086,$12.99 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Toilet Paper,04401,$12.99 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Toilet Paper,01040,$12.99 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
Toilet Paper,02122,$12.99 ,"7 Allstate Rd,, Dorchester, Massachusetts 02125-1663",suburban,
Toilet Paper,02114,$12.99 ,"180 Somerville Ave,, Somerville, Massachusetts 02143-3405",urban,
Toilet Paper,03840,$12.99 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Toilet Paper,03110,$12.99 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Toilet Paper,03063,$12.99 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
Toilet Paper,02917,$12.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Toilet Paper,20886,$12.99 ,"20908 Frederick Rd,, Germantown, Maryland 20876-4134",suburban,
Toilet Paper,02865,$12.99 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Toilet Paper,05403,$12.99 ,"60 Smithfield Blvd,, Plattsburgh, New York 12901-2151",suburban,
AirPods,06241,$179.99 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
AirPods,06042,$179.99 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,
AirPods,06901,$179.99 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
AirPods,04952,$179.99 ,"119 Crossing Way,, Augusta, Maine 04330-6184",rural,
AirPods,04086,$179.99 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
AirPods,04401,$179.99 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
AirPods,01040,$179.99 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
AirPods,02122,$179.99 ,"7 Allstate Rd,, Dorchester, Massachusetts 02125-1663",suburban,
AirPods,02114,$179.99 ,"180 Somerville Ave,, Somerville, Massachusetts 02143-3405",urban,
AirPods,03840,$179.99 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
AirPods,03110,$179.99 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
AirPods,03063,$179.99 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
AirPods,02917,$179.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
AirPods,20886,$179.99 ,"20908 Frederick Rd,, Germantown, Maryland 20876-4134",suburban,
AirPods,02865,$179.99 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
AirPods,05403,$179.99 ,"60 Smithfield Blvd,, Plattsburgh, New York 12901-2151",suburban,
Cotton Swabs,0,$3.39 ,,,
Cotton Swabs,06241,$3.39 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Cotton Swabs,06042,$3.39 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,
Cotton Swabs,06901,$3.39 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Cotton Swabs,04952,$3.39 ,"119 Crossing Way,, Augusta, Maine 04330-6184",rural,
Cotton Swabs,04086,$3.39 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Cotton Swabs,04401,$3.39 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Cotton Swabs,01040,$3.39 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
Cotton Swabs,02122,$3.39 ,"500 Geneva Ave,, Dorchester, Massachusetts 02122-1321",suburban,
Cotton Swabs,02114,$3.39 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Cotton Swabs,03840,$3.39 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Cotton Swabs,03110,$3.39 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Cotton Swabs,03063,$3.39 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
Cotton Swabs,02917,$3.39 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Cotton Swabs,20886,$3.39 ,"20908 Frederick Rd,, Germantown, Maryland 20876-4134",suburban,
Cotton Swabs,02865,$3.39 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Cotton Swabs,05403,$3.39 ,"155 Dorset St,, South Burlington, Vermont 05403-6346",suburban,
,,,,,
,,,,,
Shampoo,0,$9.99 ,,,
Shampoo,06241,$9.99 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Shampoo,06042,$9.99 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,
Shampoo,06901,$9.99 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Shampoo,04952,$9.99 ,"119 Crossing Way,, Augusta, Maine 04330-6184",rural,
Shampoo,04086,$9.99 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Shampoo,04401,$9.99 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Shampoo,01040,$9.99 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
Shampoo,02122,$9.99 ,"500 Geneva Ave,, Dorchester, Massachusetts 02122-1321",suburban,
Shampoo,02114,$9.99 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Shampoo,03840,$9.99 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Shampoo,03110,$9.99 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Shampoo,03063,$9.99 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
Shampoo,02917,$9.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Shampoo,20886,$9.99 ,"20908 Frederick Rd,, Germantown, Maryland 20876-4134",suburban,
Shampoo,02865,$9.99 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Shampoo,05403,$9.99 ,"155 Dorset St,, South Burlington, Vermont 05403-6346",suburban,
Milk,0,$4.69 ,,,
Milk,06241,$3.49 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Milk,06042,$3.49 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,
Milk,06901,$3.79 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Milk,04952,$4.69 ,"119 Crossing Way,, Augusta, Maine 04330-6184",rural,
Milk,04086,$4.69 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Milk,04401,$4.69 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Milk,01040,$4.19 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
Milk,02122,$4.19 ,"500 Geneva Ave,, Dorchester, Massachusetts 02122-1321",suburban,
Milk,02114,$4.19 ,"100 Cambridge St, Ste 2,, Boston, Massachusetts 02114-2532",urban,
Milk,03840,$3.49 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Milk,03110,$3.49 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Milk,03063,$3.49 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
Milk,02917,$3.89 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Milk,20886,$2.49 ,"5437 Urbana Pike,, Frederick, Maryland 21704-7275",suburban,
Milk,02865,$3.89 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Milk,05403,$3.49 ,"155 Dorset St,, South Burlington, Vermont 05403-6346",suburban,
Diapers,0,$44.99 ,,,
Diapers,06241,$44.99 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Diapers,06042,$44.99 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,
Diapers,06901,$44.99 ,"9 City Pl,, White Plains, New York 10601-3331",urban,
Diapers,04952,$44.99 ,"119 Crossing Way,, Augusta, Maine 04330-6184",rural,
Diapers,04086,$44.99 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Diapers,04401,$44.99 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Diapers,01040,$44.99 ,"50 Holyoke St,, Holyoke, Massachusetts 01040-2709",rural,
Diapers,02122,$44.99 ,"289 Hancock St,, Quincy, Massachusetts 02171",suburban,
Diapers,02114,$44.99 ,"180 Somerville Ave,, Somerville, Massachusetts 02143-3405",urban,
Diapers,03840,$44.99 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Diapers,03110,$44.99 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Diapers,03063,$44.99 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
Diapers,02917,$44.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Diapers,02886,$44.99 ,"400 Bald Hill Rd,, Warwick, Rhode Island 02886-6101",Unknown,
Diapers,02865,$44.99 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Diapers,05403,$44.99 ,"60 Smithfield Blvd,, Plattsburgh, New York 12901-2151",suburban,
T-Shirt,0,$9.60 ,,,
T-Shirt,06241,$9.60 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",rural,"06241', '06042', '06901',"
T-Shirt,06042,$9.60 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,"        '04952', '04086', '04401', "
T-Shirt,06901,$9.60 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,"        '01040', '02122', '02114',"
T-Shirt,04952,$9.60 ,"60 Longview Dr,, Bangor, Maine 04401-3629",rural,"        '03840', '03110' , '03063',"
T-Shirt,04401,$9.60 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,"        '02917', '20886' , '02865', "
T-Shirt,01040,$9.60 ,"94 Elm St, Ste 1,, Enfield, Connecticut 06082-3740",rural,        '05403'
T-Shirt,02122,$9.60 ,"1341 BOYLSTON ST,, Boston, Massachusetts 02215-3936",suburban,
T-Shirt,02114,$9.60 ,"1341 BOYLSTON ST,, Boston, Massachusetts 02215-3936",urban,
T-Shirt,03840,$9.60 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",rural,
T-Shirt,03110,$9.60 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
T-Shirt,03063,$9.60 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
T-Shirt,02917,$9.60 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",rural,
T-Shirt,02886,$9.60 ,"400 Bald Hill Rd,, Warwick, Rhode Island 02886-6101",Unknown,
T-Shirt,02865,$9.60 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Eggs,0,$4.99 ,,,
Eggs,06241,$4.99 ,"2177 Killingly Cmns,, Dayville, Connecticut 06241-2188",rural,
Eggs,06042,$4.99 ,"125 Buckland Hills Dr,, Manchester, Connecticut 06042-8701",suburban,
Eggs,06901,$5.39 ,"21 Broad St,, Stamford, Connecticut 06901-2309",urban,
Eggs,04952,$4.99 ,"119 Crossing Way,, Augusta, Maine 04330-6184",rural,
Eggs,04086,$4.99 ,"125 Topsham Fair Mall Rd,, Topsham, Maine 04086-1741",suburban,
Eggs,04401,$4.99 ,"60 Longview Dr,, Bangor, Maine 04401-3629",urban,
Eggs,01040,$4.99 ,"94 Elm St, Ste 1,, Enfield, Connecticut 06082-3740",rural,
Eggs,02122,$5.49 ,"289 Hancock St,, Quincy, Massachusetts 02171",suburban,
Eggs,02114,$5.49 ,"289 Hancock St,, Quincy, Massachusetts 02171",urban,
Eggs,03840,$4.99 ,"1450 Greenland Rd,, Greenland, New Hampshire 03840-2438",rural,
Eggs,03110,$4.99 ,"220 S River Rd,, Bedford, New Hampshire 03110-6819",suburban,
Eggs,03063,$4.99 ,"600 Amherst St,, Nashua, New Hampshire 03063-1002",urban,
Eggs,02917,$5.99 ,"371 Putnam Pike Ste A-250,, Smithfield, Rhode Island 02917-2440",rural,
Eggs,02886,$4.99 ,"400 Bald Hill Rd,, Warwick, Rhode Island 02886-6101",Unknown,
Eggs,02865,$4.99 ,"620 George Washington Hwy,, Lincoln, Rhode Island 02865-4216",urban,
Eggs,05403,$4.99 ,"155 Dorset St,, South Burlington, Vermont 05403-6346",suburban,